lidarPos ; odometryPos ; filteredPos ; opponentPos ; opponentFilteredPos ; measuredOmega ; filteredOmega ; wheelSpeeds ; measuredSpeed ; filteredMeasuredSpeed
0.000000 0.000000 0.000000 ; 0.000003 0.000014 0.245584 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 8.546198 ; 0.000000 ; 0.074672 0.184242 -0.248998 0.522923 ; -0.017445 0.002013 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000014 0.000023 0.250382 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 1.931839 ; 0.000000 ; 0.074672 0.184242 -0.129457 0.239027 ; 0.004905 0.004063 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000019 0.000030 0.252966 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 1.047684 ; 0.000000 ; 0.074672 0.184242 -0.129457 0.239027 ; 0.001917 0.002810 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000023 0.000036 0.255556 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 1.047684 ; 0.000000 ; 0.074672 0.184242 -0.129457 0.239027 ; 0.001917 0.002810 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000028 0.000043 0.258144 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 1.047684 ; 0.000000 ; 0.074672 0.184242 -0.129457 0.239027 ; 0.001917 0.002810 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000032 0.000050 0.260740 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 1.047684 ; 0.000000 ; -0.313754 0.463153 -0.129457 0.239027 ; 0.001917 0.002810 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000025 0.000054 0.266979 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 2.510190 ; 0.000000 ; -0.313754 0.463153 -0.009916 0.089628 ; -0.003024 0.001975 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000013 0.000058 0.271758 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 1.920793 ; 0.000000 ; -0.313754 0.463153 -0.009916 0.089628 ; -0.005016 0.001747 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000001 0.000062 0.276506 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 1.920793 ; 0.000000 ; -0.313754 0.463153 -0.009916 0.089628 ; -0.005016 0.001747 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; -0.000010 0.000067 0.281247 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 1.920793 ; 0.000000 ; -0.313754 0.463153 -0.009916 0.089628 ; -0.005016 0.001747 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; -0.000022 0.000071 0.286022 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 1.920793 ; 0.000000 ; -0.079657 0.144413 -0.009916 0.089628 ; -0.005016 0.001747 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; -0.000024 0.000073 0.287781 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.709222 ; 0.000000 ; -0.079657 0.144413 0.000000 0.154384 ; -0.000922 0.001102 ; 0.000000 0.000000 ; 0.000000 0.000000
