lidarPos ; odometryPos ; filteredPos ; opponentPos ; opponentFilteredPos ; measuredOmega ; filteredOmega ; wheelSpeeds ; measuredSpeed ; filteredMeasuredSpeed
0.000000 0.000000 0.000000 ; 0.000442 -0.000022 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.141916 ; 0.000000 ; 0.000000 0.000000 0.029858 0.094614 ; 0.000480 0.000949 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000443 -0.000020 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.141916 ; 0.000000 ; 0.000000 0.000000 0.029858 0.094614 ; 0.000480 0.000949 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000444 -0.000018 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.141916 ; 0.000000 ; 0.019887 -0.014902 -0.054785 0.194213 ; 0.000480 0.000949 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000449 -0.000015 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.469453 ; 0.000000 ; 0.019887 -0.014902 -0.054785 0.194213 ; 0.002101 0.001101 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000454 -0.000013 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.469453 ; 0.000000 ; 0.019887 -0.014902 -0.054785 0.194213 ; 0.002101 0.001101 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000459 -0.000010 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.469453 ; 0.000000 ; 0.019887 -0.014902 -0.054785 0.194213 ; 0.002101 0.001101 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000464 -0.000008 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.469453 ; 0.000000 ; 0.019887 -0.014902 -0.054785 0.194213 ; 0.002101 0.001101 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000469 -0.000005 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.469453 ; 0.000000 ; 0.034843 -0.039829 -0.009916 0.129457 ; 0.002101 0.001101 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000473 -0.000003 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.141796 ; 0.000000 ; 0.034843 -0.039829 -0.009916 0.129457 ; 0.001585 0.000874 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000476 -0.000001 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.141796 ; 0.000000 ; 0.034843 -0.039829 -0.009916 0.129457 ; 0.001585 0.000874 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000480 0.000001 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.141796 ; 0.000000 ; 0.034843 -0.039829 -0.009916 0.129457 ; 0.001585 0.000874 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000484 0.000003 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.141796 ; 0.000000 ; 0.019887 -0.019887 -0.009916 0.129457 ; 0.001585 0.000874 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000487 0.000005 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.218277 ; 0.000000 ; 0.019887 -0.019887 -0.054785 0.044814 ; 0.001327 0.000912 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000490 0.000005 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.131111 ; 0.000000 ; 0.019887 -0.019887 -0.054785 0.044814 ; 0.001032 -0.000076 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000493 0.000005 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.131111 ; 0.000000 ; 0.019887 -0.019887 -0.054785 0.044814 ; 0.001032 -0.000076 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000495 0.000005 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.131111 ; 0.000000 ; 0.019887 -0.019887 -0.054785 0.044814 ; 0.001032 -0.000076 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000498 0.000005 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.131111 ; 0.000000 ; 0.024872 -0.034843 -0.059716 0.064701 ; 0.001032 -0.000076 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000501 0.000005 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.141796 ; 0.000000 ; 0.024872 -0.034843 -0.059716 0.064701 ; 0.001364 -0.000038 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000504 0.000004 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.141796 ; 0.000000 ; 0.024872 -0.034843 -0.059716 0.064701 ; 0.001364 -0.000038 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000507 0.000004 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.141796 ; 0.000000 ; 0.024872 -0.034843 -0.059716 0.064701 ; 0.001364 -0.000038 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000511 0.000004 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.141796 ; 0.000000 ; 0.019887 -0.019887 -0.004931 0.019887 ; 0.001364 -0.000038 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000512 0.000005 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.032778 ; 0.000000 ; 0.019887 -0.019887 -0.004931 0.019887 ; 0.000478 0.000114 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000513 0.000005 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.032778 ; 0.000000 ; 0.019887 -0.019887 -0.004931 0.019887 ; 0.000478 0.000114 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000514 0.000005 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.032778 ; 0.000000 ; 0.019887 -0.019887 -0.004931 0.019887 ; 0.000478 0.000114 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000515 0.000005 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.032778 ; 0.000000 ; 0.019887 -0.019887 -0.004931 0.019887 ; 0.000478 0.000114 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000516 0.000006 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.032778 ; 0.000000 ; 0.059716 -0.024872 -0.014902 0.124472 ; 0.000478 0.000114 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000520 0.000008 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.120065 ; 0.000000 ; 0.059716 -0.024872 -0.014902 0.124472 ; 0.001658 0.001101 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000524 0.000011 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.120065 ; 0.000000 ; 0.059716 -0.024872 -0.014902 0.124472 ; 0.001658 0.001101 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000528 0.000013 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.120065 ; 0.000000 ; 0.059716 -0.024872 -0.014902 0.124472 ; 0.001658 0.001101 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000532 0.000016 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.120065 ; 0.000000 ; 0.059716 -0.044814 -0.014902 0.124472 ; 0.001658 0.001101 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000536 0.000018 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.076361 ; 0.000000 ; 0.059716 -0.044814 -0.029858 0.059716 ; 0.001806 0.000949 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000540 0.000019 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.032778 ; 0.000000 ; 0.059716 -0.044814 -0.029858 0.059716 ; 0.001437 0.000341 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000544 0.000020 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.032778 ; 0.000000 ; 0.059716 -0.044814 -0.029858 0.059716 ; 0.001437 0.000341 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000547 0.000021 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.032778 ; 0.000000 ; 0.059716 -0.044814 -0.029858 0.059716 ; 0.001437 0.000341 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000551 0.000022 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.032778 ; 0.000000 ; 0.129457 -0.054785 -0.034843 0.084643 ; 0.001437 0.000341 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000556 0.000024 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.141916 ; 0.000000 ; 0.129457 -0.054785 -0.034843 0.084643 ; 0.002249 0.000949 ; 0.000000 0.000000 ; 0.000000 0.000000
