lidarPos ; odometryPos ; filteredPos ; opponentPos ; opponentFilteredPos ; measuredOmega ; filteredOmega ; wheelSpeeds ; measuredSpeed ; filteredMeasuredSpeed
0.000000 0.000000 0.000000 ; -0.000073 0.077224 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 1.298859 ; 0.000000 ; 7.206697 7.864117 7.361081 7.625035 ; -0.001585 0.232610 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; -0.000204 0.087546 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 2.019246 ; 0.000000 ; 7.122054 7.505549 7.694776 7.689791 ; -0.002914 0.229192 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; -0.000334 0.097855 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.829526 ; 0.000000 ; 7.460680 8.028472 7.958731 8.033458 ; -0.002877 0.228850 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; -0.000499 0.108678 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 1.408118 ; 0.000000 ; 7.918902 7.067269 7.739591 7.490593 ; -0.003651 0.240053 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; -0.000303 0.118803 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -2.412098 ; 0.000000 ; 7.615119 7.236554 7.505549 7.291340 ; 0.004463 0.230407 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; -0.000253 0.127932 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -1.299099 ; 0.000000 ; 7.555349 7.545378 7.580221 7.480622 ; 0.001217 0.226078 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; -0.000280 0.137206 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.240129 ; 0.000000 ; 7.425837 7.351110 7.196726 7.366066 ; -0.000664 0.229990 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; -0.000231 0.143294 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.207352 ; 0.000000 ; 7.286409 7.351110 7.565265 7.570250 ; 0.001807 0.223723 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; -0.000242 0.148958 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.152722 ; 0.000000 ; 7.889044 7.590192 7.530421 7.405895 ; -0.000442 0.227027 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; -0.000210 0.154756 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.927859 ; 0.000000 ; 7.032371 7.346125 7.400910 7.326238 ; 0.001291 0.231926 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; -0.000282 0.160322 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.523962 ; 0.000000 ; 7.590192 7.077185 7.420851 7.625035 ; -0.002876 0.221938 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; -0.000149 0.165993 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.676804 ; 0.000000 ; 6.957699 7.296325 7.181769 7.216668 ; 0.005311 0.226571 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; -0.000205 0.171457 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.818600 ; 0.000000 ; 6.723602 6.678788 7.027385 7.117068 ; -0.002249 0.218482 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; -0.000180 0.176723 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.098333 ; 0.000000 ; 7.166868 7.077185 6.658846 6.738559 ; 0.000996 0.210052 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; -0.000149 0.181994 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.021852 ; 0.000000 ; 6.768416 6.798274 6.768416 7.017414 ; 0.001254 0.210773 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; -0.000108 0.187210 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.611129 ; 0.000000 ; 6.813231 6.962629 6.683774 6.957699 ; 0.001623 0.208570 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; -0.000085 0.192439 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.927739 ; 0.000000 ; 6.614032 6.982571 6.838158 6.873001 ; 0.000922 0.209064 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; -0.000147 0.197661 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.884036 ; 0.000000 ; 6.947728 6.604061 6.175752 6.633919 ; -0.002471 0.208229 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000002 0.202698 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.250935 ; 0.000000 ; 6.534320 6.778387 6.504462 6.399878 ; 0.005938 0.201013 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; -0.000063 0.207695 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.305684 ; 0.000000 ; 6.559247 6.096040 6.833172 6.912830 ; -0.002582 0.199912 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000039 0.212780 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.840572 ; 0.000000 ; 6.499477 7.126984 6.574203 6.599076 ; 0.004020 0.201316 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; -0.000073 0.217892 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 1.429729 ; 0.000000 ; 6.987557 6.185723 6.738559 6.718617 ; -0.004463 0.204355 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000072 0.222970 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -1.800969 ; 0.000000 ; 6.599076 6.982571 6.459648 6.723602 ; 0.005790 0.203064 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000050 0.228071 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 1.418923 ; 0.000000 ; 6.220566 6.479535 6.539305 6.643890 ; -0.000885 0.204089 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000021 0.233008 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.796749 ; 0.000000 ; 6.882972 6.364979 6.509448 6.469564 ; -0.001143 0.197367 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000110 0.238009 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -1.222618 ; 0.000000 ; 6.643890 6.539305 6.554262 6.499477 ; 0.003540 0.199987 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000119 0.243009 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.349268 ; 0.000000 ; 6.081138 6.748475 6.653861 6.638905 ; 0.000369 0.200063 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; -0.000008 0.247989 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 1.429729 ; 0.000000 ; 6.559247 6.818216 6.145839 6.230537 ; -0.005052 0.199190 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; -0.000040 0.252900 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.753165 ; 0.000000 ; 5.996441 5.951626 6.614032 6.668817 ; -0.001290 0.196379 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; -0.000021 0.257712 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.021852 ; 0.000000 ; 6.449677 6.514433 6.369965 6.504462 ; 0.000738 0.192392 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; -0.000008 0.262652 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.436675 ; 0.000000 ; 6.778387 6.245493 6.614032 6.444692 ; 0.000516 0.197025 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000059 0.267624 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -1.538988 ; 0.000000 ; 6.046240 6.663832 6.275351 6.459648 ; 0.002692 0.198886 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; -0.000021 0.272476 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 1.757385 ; 0.000000 ; 7.112083 6.200624 6.379936 6.250424 ; -0.003209 0.194025 ; 0.000000 0.000000 ; 0.000000 0.000000
