lidarPos ; odometryPos ; filteredPos ; opponentPos ; opponentFilteredPos
1.708802 0.292533 175.025665 ; 1.717577 0.288392 173.679413 ; 1.714985 0.291945 170.929794 ; 1.837375 1.556075 ; 1.214823 1.609874 
1.708802 0.292533 175.025665 ; 1.713251 0.291888 175.025665 ; 1.714734 0.291673 171.595840 ; 1.837375 1.556075 ; 1.296860 1.602784 
1.722837 0.288822 175.864395 ; 1.716322 0.290882 175.864395 ; 1.714151 0.291569 172.287476 ; 1.828250 1.557286 ; 1.368086 1.596629 
1.722531 0.276689 176.631210 ; 1.716912 0.290622 175.864395 ; 1.714937 0.291222 172.973999 ; 1.816675 1.551003 ; 1.428724 1.591445 
1.722531 0.276689 176.631210 ; 1.717443 0.286764 176.631210 ; 1.715747 0.290122 173.615387 ; 1.816675 1.551003 ; 1.479846 1.586116 
1.718500 0.278715 178.319366 ; 1.718031 0.285904 176.631210 ; 1.716531 0.288975 174.196716 ; 1.820708 1.552796 ; 1.524231 1.581489 
1.720857 0.286604 178.202011 ; 1.717354 0.285719 178.319366 ; 1.716972 0.288054 174.800262 ; 1.803846 1.550357 ; 1.563299 1.577708 
1.720857 0.286604 178.202011 ; 1.718381 0.287485 178.202011 ; 1.717556 0.287779 175.397491 ; 1.803846 1.550357 ; 1.594997 1.574104 
1.720995 0.275280 178.949142 ; 1.718824 0.287305 178.202011 ; 1.718146 0.287539 175.908096 ; 1.802315 1.545927 ; 1.622518 1.570974 
1.720995 0.275280 178.949142 ; 1.719227 0.283669 178.949142 ; 1.718638 0.286466 176.397781 ; 1.802315 1.545927 ; 1.646211 1.567674 
1.719034 0.284050 179.544388 ; 1.719503 0.282790 178.949142 ; 1.719006 0.285294 176.819321 ; 1.807467 1.550384 ; 1.666781 1.564808 
1.725749 0.268451 179.964890 ; 1.719116 0.284679 179.544388 ; 1.719144 0.284889 177.206940 ; 1.793050 1.551130 ; 1.685320 1.562907 
1.725749 0.268451 179.964890 ; 1.721224 0.279733 179.964890 ; 1.719715 0.283494 177.599289 ; 1.793050 1.551130 ; 1.699516 1.561355 
1.714369 0.283475 180.209976 ; 1.721759 0.278621 179.964890 ; 1.720429 0.282011 177.983643 ; 1.786790 1.542208 ; 1.711841 1.560008 
1.714369 0.283475 180.209976 ; 1.718791 0.282198 180.209976 ; 1.720265 0.281772 178.346558 ; 1.786790 1.542208 ; 1.721718 1.557662 
1.722457 0.271001 180.805908 ; 1.720527 0.279041 180.805908 ; 1.719884 0.281720 178.657791 ; 1.790028 1.537083 ; 1.730293 1.555626 
1.720558 0.277531 181.117401 ; 1.720814 0.278236 180.805908 ; 1.720266 0.280648 178.997208 ; 1.780655 1.543057 ; 1.738164 1.553182 
1.720558 0.277531 181.117401 ; 1.720426 0.279523 181.117401 ; 1.720382 0.280187 179.275818 ; 1.780655 1.543057 ; 1.743763 1.551848 
1.713526 0.278331 181.050415 ; 1.721131 0.275940 181.117401 ; 1.721322 0.275410 179.917725 ; 1.792715 1.538063 ; 1.748625 1.550690 
1.716517 0.293406 181.666138 ; 1.719469 0.270713 181.050415 ; 1.721450 0.268173 180.291885 ; 1.770823 1.529233 ; 1.754435 1.549026 
1.716517 0.293406 181.666138 ; 1.718780 0.296819 181.305527 ; 1.721254 0.260039 180.554825 ; 1.770823 1.529233 ; 1.756594 1.546418 
1.719494 0.305416 182.233063 ; 1.718316 0.324314 181.608765 ; 1.721179 0.252809 180.791245 ; 1.777380 1.491696 ; 1.758469 1.544153 
