lidarPos ; odometryPos ; filteredPos ; opponentPos ; opponentFilteredPos ; measuredOmega ; filteredOmega ; wheelSpeeds ; measuredSpeed ; filteredMeasuredSpeed
0.000000 0.000000 0.000000 ; -0.000005 0.003773 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.131111 ; 0.000000 ; 2.554955 2.510140 2.455355 2.360687 ; 0.000222 0.066915 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; -0.000007 0.004154 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.305684 ; 0.000000 ; 2.554955 2.510140 2.455355 2.360687 ; -0.000369 0.075346 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; -0.000009 0.004539 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.305684 ; 0.000000 ; 3.077878 2.530027 2.779080 2.714324 ; -0.000369 0.075346 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000009 0.004963 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -1.342562 ; 0.000000 ; 3.077878 2.530027 2.779080 2.714324 ; 0.003577 0.084650 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000027 0.005392 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -1.342562 ; 0.000000 ; 3.162575 2.963322 3.267160 3.053005 ; 0.003577 0.084650 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000026 0.005875 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.906007 ; 0.000000 ; 3.162575 2.963322 3.267160 3.053005 ; -0.000110 0.094904 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000026 0.006361 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.906007 ; 0.000000 ; 3.162575 2.963322 3.267160 3.053005 ; -0.000110 0.094904 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000025 0.006832 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.906007 ; 0.000000 ; 3.551056 3.172546 3.486300 3.556041 ; -0.000110 0.094904 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000042 0.007357 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.676684 ; 0.000000 ; 3.551056 3.172546 3.486300 3.556041 ; 0.003319 0.104969 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000059 0.007911 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.676684 ; 0.000000 ; 3.740283 3.740283 3.770196 3.665612 ; 0.003319 0.104969 ; 0.000000 0.000000 ; 0.000000 0.000000
