lidarPos ; odometryPos ; filteredPos ; opponentPos ; opponentFilteredPos ; measuredOmega ; filteredOmega ; wheelSpeeds ; measuredSpeed ; filteredMeasuredSpeed
0.000000 0.000000 0.000000 ; -0.000121 0.070199 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -1.386146 ; 0.000000 ; 8.018501 8.421938 7.809332 7.754547 ; 0.000774 0.222052 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; -0.000203 0.076060 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.764091 ; 0.000000 ; 7.764518 7.520450 7.704747 7.356095 ; -0.003393 0.244041 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; -0.000222 0.081620 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -1.298979 ; 0.000000 ; 7.824288 7.889044 7.455695 7.605148 ; -0.000774 0.231394 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; -0.000207 0.087251 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.469453 ; 0.000000 ; 7.600163 7.704747 7.739591 8.063315 ; 0.000627 0.234661 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; -0.000167 0.092958 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.938665 ; 0.000000 ; 8.162969 8.172885 7.854146 7.928873 ; 0.001623 0.237205 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; -0.000156 0.098837 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.185500 ; 0.000000 ; 7.993629 8.103199 7.679820 7.739591 ; 0.000480 0.244914 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; -0.000165 0.104620 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.371120 ; 0.000000 ; 7.983658 7.714718 7.585206 7.505549 ; -0.000369 0.240319 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; -0.000131 0.110265 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.763971 ; 0.000000 ; 7.535407 7.450764 7.221653 7.664919 ; 0.001402 0.234775 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; -0.000037 0.115729 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.785943 ; 0.000000 ; 7.605148 7.664919 7.435808 7.784405 ; 0.003909 0.227787 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000014 0.121301 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.894961 ; 0.000000 ; 7.769503 7.505549 7.246525 7.699762 ; 0.002139 0.232496 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000185 0.128743 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.414823 ; 0.000000 ; 7.844175 7.779474 7.206697 7.535407 ; 0.005311 0.230445 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000291 0.137101 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.578591 ; 0.000000 ; 7.590192 7.565265 7.470651 7.311281 ; 0.002913 0.231546 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000255 0.145202 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.403897 ; 0.000000 ; 7.321252 7.500564 7.475636 7.395979 ; -0.000996 0.228280 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000207 0.150877 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.218397 ; 0.000000 ; 7.271453 7.002513 7.102112 7.415866 ; -0.001918 0.226420 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000311 0.156144 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.098213 ; 0.000000 ; 7.186755 7.361081 6.957699 7.151912 ; 0.004315 0.219546 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000314 0.161388 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.807675 ; 0.000000 ; 7.291340 6.624003 7.306296 6.982571 ; 0.000147 0.218520 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000375 0.166550 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -2.171968 ; 0.000000 ; 7.625035 7.560334 7.291340 7.117068 ; 0.002544 0.215064 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000356 0.171971 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.523722 ; 0.000000 ; 6.748475 6.803260 7.002513 7.012484 ; -0.000811 0.225660 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000348 0.177019 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.141916 ; 0.000000 ; 6.843143 7.186755 7.067269 7.052312 ; -0.000332 0.210203 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000284 0.182175 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.720267 ; 0.000000 ; 6.927786 6.833172 6.668817 6.863030 ; -0.002655 0.214647 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000336 0.187189 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.218277 ; 0.000000 ; 6.937757 6.653861 6.833172 6.813231 ; 0.002139 0.208114 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000383 0.192180 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.665878 ; 0.000000 ; 6.813231 6.887957 6.843143 6.768416 ; 0.001955 0.207697 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000356 0.197186 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.000000 ; 0.000000 ; 6.703660 6.394892 6.609047 6.713631 ; -0.001107 0.208267 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000429 0.202025 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.447481 ; 0.000000 ; 6.808245 6.962629 6.808245 6.758446 ; 0.003061 0.201468 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000393 0.207030 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.229203 ; 0.000000 ; 6.713631 6.135923 6.569218 6.549276 ; -0.001512 0.208456 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000492 0.211789 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -1.309785 ; 0.000000 ; 6.295293 6.962629 6.574203 6.803260 ; 0.004130 0.198013 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000414 0.216678 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 1.964497 ; 0.000000 ; 6.668817 6.559247 6.668817 6.688704 ; -0.003245 0.203101 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000437 0.221548 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.196546 ; 0.000000 ; 6.917815 6.798274 6.609047 6.653861 ; 0.000959 0.202722 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000467 0.226488 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.163768 ; 0.000000 ; 6.668817 6.230537 6.519418 6.489506 ; 0.001217 0.205722 ; 0.000000 0.000000 ; 0.000000 0.000000
