lidarPos ; odometryPos ; filteredPos ; opponentPos ; opponentFilteredPos ; measuredOmega ; filteredOmega ; wheelSpeeds ; measuredSpeed ; filteredMeasuredSpeed
0.000000 0.000000 0.000000 ; 0.000253 -0.000046 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 2.652227 ; 0.000000 ; 0.000000 0.000000 -0.766990 0.443211 ; 0.008962 -0.002469 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000278 -0.000053 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 2.652227 ; 0.000000 ; 0.000000 0.000000 -0.766990 0.443211 ; 0.008962 -0.002469 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000300 -0.000058 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 2.652227 ; 0.000000 ; 0.000000 0.000000 0.000000 0.393411 ; 0.008962 -0.002469 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000307 -0.000051 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.862184 ; 0.000000 ; 0.000000 0.000000 0.000000 0.393411 ; 0.002913 0.003000 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000313 -0.000044 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.862184 ; 0.000000 ; 0.000000 0.000000 0.000000 0.393411 ; 0.002913 0.003000 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000320 -0.000037 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.862184 ; 0.000000 ; 0.000000 0.000000 0.000000 0.393411 ; 0.002913 0.003000 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000327 -0.000030 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.862184 ; 0.000000 ; 0.004931 -0.004931 0.000000 0.393411 ; 0.002913 0.003000 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000334 -0.000023 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.840572 ; 0.000000 ; 0.004931 -0.004931 -0.099599 0.009916 ; 0.002986 0.003000 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000336 -0.000025 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.218397 ; 0.000000 ; 0.004931 -0.004931 -0.099599 0.009916 ; 0.000884 -0.000684 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000338 -0.000026 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.218397 ; 0.000000 ; 0.004931 -0.004931 -0.099599 0.009916 ; 0.000884 -0.000684 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000341 -0.000028 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.218397 ; 0.000000 ; 0.004931 -0.004931 -0.099599 0.009916 ; 0.000884 -0.000684 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000343 -0.000029 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.218397 ; 0.000000 ; 0.009916 0.000000 -0.044814 0.049800 ; 0.000884 -0.000684 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000344 -0.000029 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.185620 ; 0.000000 ; 0.009916 0.000000 -0.044814 0.049800 ; 0.000774 0.000114 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000346 -0.000029 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.185620 ; 0.000000 ; 0.009916 0.000000 -0.044814 0.049800 ; 0.000774 0.000114 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000348 -0.000029 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.185620 ; 0.000000 ; 0.009916 0.000000 -0.044814 0.049800 ; 0.000774 0.000114 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000350 -0.000028 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.185620 ; 0.000000 ; 0.009916 0.000000 -0.044814 0.049800 ; 0.000774 0.000114 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000352 -0.000028 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.185620 ; 0.000000 ; 0.009916 0.000000 -0.109570 0.009916 ; 0.000774 0.000114 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000354 -0.000030 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.240129 ; 0.000000 ; 0.009916 0.000000 -0.109570 0.009916 ; 0.000958 -0.000684 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000357 -0.000031 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.240129 ; 0.000000 ; 0.009916 0.000000 -0.109570 0.009916 ; 0.000958 -0.000684 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000359 -0.000033 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.240129 ; 0.000000 ; 0.009916 0.000000 -0.109570 0.009916 ; 0.000958 -0.000684 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000361 -0.000034 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.240129 ; 0.000000 ; 0.014902 0.000000 0.000000 0.049800 ; 0.000958 -0.000684 ; 0.000000 0.000000 ; 0.000000 0.000000
